Epsilon: 0.5 min_samples: 100
Total Amount of Subjects: 12854
True Positives: 0  False Positives: 4550  Positives Total: 4550
True Negatives: 8176  False Negatives: 128  Total Negatives: 8304
Precision: 0.00% Recall: 0.00% F1-Score: 0.00

[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent333'), 0]
[rdflib.term.URIRef('http://www.Department14.University0.edu/UndergraduateStudent207'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent205'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssistantProfessor6/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/UndergraduateStudent344'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssociateProfessor1/Publication3'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/UndergraduateStudent248'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssociateProfessor2/Publication14'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent414'), 0]
[rdflib.term.URIRef('http://www.Department3.University0.edu/GraduateStudent107'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/FullProfessor0/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/FullProfessor0/Publication12'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/Course43'), 1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssociateProfessor8/Publication5'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/FullProfessor2'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor2/Publication13'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssociateProfessor6/Publication14'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/AssistantProfessor5/Publication2'), -1]
[rdflib.term.URIRef('http://www.University308.edu'), 2]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent73'), 0]
[rdflib.term.URIRef('http://www.Department14.University0.edu/AssistantProfessor4/Publication3'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/AssistantProfessor2'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent236'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/AssistantProfessor6/Publication5'), -1]
[rdflib.term.URIRef('http://www.University678.edu'), 2]
